Frame number: 0  Sekunda 2.0: 
Frame number: 7157  Sekunda 288.28: 每秒钟的意思只是每一秒钟

Frame number: 7174  Sekunda 288.96: 我每次读这和句医 我都觉得好痛的领悟

Frame number: 7191  Sekunda 289.64: 我们活着 时间滴答满和丛走

Frame number: 7208  Sekunda 290.32: 可是疫有留下任何内容

Frame number: 7225  Sekunda 291.0: 可是疫有留下任何内容

Frame number: 7242  Sekunda 291.68: 为什么

Frame number: 7259  Sekunda 292.36: 为什么

Frame number: 7276  Sekunda 293.04: 因为如果我们过的是一份伪生活

Frame number: 7293  Sekunda 293.72: 是谈不上“创造”二字的

Frame number: 7310  Sekunda 294.4: 疫有创造的生活

Frame number: 7327  Sekunda 295.08: 疫有创造的生活

Frame number: 7344  Sekunda 295.76: 对我们而言它疫有真实的意义

Frame number: 7361  Sekunda 296.44: 我们越忙碌 趣空虚

Frame number: 7378  Sekunda 297.12: 卡夫卡他也与了一部小说

Frame number: 7395  Sekunda 297.8: 我们更赖悉

Frame number: 7412  Sekunda 298.48: 那就叫《变形记少

Frame number: 7429  Sekunda 299.16: 他在《变形记》 里面讲了一个

Frame number: 7446  Sekunda 299.84: 很多年轻人都很丈悉的故事

Frame number: 7463  Sekunda 300.52: 有一个叫格里高尔的推销员

Frame number: 7480  Sekunda 301.2: 这个推销员他的工作非常地繁重

Frame number: 7497  Sekunda 301.88: 他一总点都不喜欢目己的这份工作

Frame number: 7514  Sekunda 302.56: 但是他为了乔家糊口

Frame number: 7531  Sekunda 303.24: 他又非曲非浊害和失去这份工作

Frame number: 7548  Sekunda 303.92: 这份玉作对他而言是相当令估殿佑的，

Frame number: 7565  Sekunda 304.6: 人非常烦上自己的工作和 二

Frame number: 7582  Sekunda 305.28: i 他非常烦目己的工作

Frame number: 7599  Sekunda 305.96: 2但是他又积极地表现 9

Frame number: 7616  Sekunda 306.64: aa但是他又积极地表现由 全站 二证:

Frame number: 7633  Sekunda 307.32: 册国局的老板对上自己更注意下

Frame number: 7650  Sekunda 308.0: 上上国包的老板对目己更满意| 3

Frame number: 7667  Sekunda 308.68: 伪目我就是我们过着一种内心手裂的生活

Frame number: 7684  Sekunda 309.36: 内心掺裂的生活过人久了

Frame number: 7701  Sekunda 310.04: 卡夫卡香诉我们说

Frame number: 7718  Sekunda 310.72: 在某一天的早晨

Frame number: 7735  Sekunda 311.4: 格里高尔从蕉中醒来

Frame number: 7752  Sekunda 312.08: 上友现自己变成了一只巨大的甲虫

Frame number: 7769  Sekunda 312.76: 所以伪生活 伪目我它的结果就是这样的

Frame number: 7786  Sekunda 313.44: 所以伪生活 伪目我它的结果就是这样的

Frame number: 7803  Sekunda 314.12: 作为个体的我们

Frame number: 7820  Sekunda 314.8: 仿佛存在着

Frame number: 7837  Sekunda 315.48: 又仿佛从未存在过

Frame number: 7854  Sekunda 316.16: 这就是加绪所说的“虚无和茶诞”

Frame number: 7871  Sekunda 316.84: ，

Frame number: 7888  Sekunda 317.52: 是王小波所说的“缓慢受刍的人生

Frame number: 7905  Sekunda 318.2: 是卡夫卡所说的“异化成虫”

Frame number: 7922  Sekunda 318.88: 那问题就来了

Frame number: 7939  Sekunda 319.56: 这么痛的生活

Frame number: 7956  Sekunda 320.24: 这人么痛的生活

Frame number: 7973  Sekunda 320.92: 席矢了我们的日钊的一个状态

Frame number: 7990  Sekunda 321.6: 我在这个地方就要提到这个词了

Frame number: 8007  Sekunda 322.28: 我在这个地万就要提到这个词了

Frame number: 8024  Sekunda 322.96: 那就是我们今天的天键词

Frame number: 8041  Sekunda 323.64: 理想

Frame number: 8058  Sekunda 324.32: 了也许理想是一种敬案

Frame number: 8075  Sekunda 325.0: 但是大家和不要必着反双

Frame number: 8092  Sekunda 325.68: 很多朋友会说

Frame number: 8109  Sekunda 326.36: 很多朋友会说

Frame number: 8126  Sekunda 327.04: 很多朋友会说

Frame number: 8143  Sekunda 327.72: 理想址我们活得很况重

Frame number: 8160  Sekunda 328.4: 这是因为我们需要在谈理想之前

Frame number: 8177  Sekunda 329.08: 首先要提防一个问题

Frame number: 8194  Sekunda 329.76: 你的理想是不是被绑架到了攀比的金字塔灾上

Frame number: 8211  Sekunda 330.44: 这是一个什么概念呢

Frame number: 8228  Sekunda 331.12: 比如说求知

Frame number: 8245  Sekunda 331.8: 比姐说求知

Frame number: 8262  Sekunda 332.48: 比姐说求知

Frame number: 8279  Sekunda 333.16: ”我要读书

Frame number: 8296  Sekunda 333.84: LU，和我要读书

Frame number: 8313  Sekunda 334.52: 成为一牛有皖间的人 有知识的人

Frame number: 8330  Sekunda 335.2: 入是不是一份理想

Frame number: 8347  Sekunda 335.88: 入是不是一份理想

Frame number: 8364  Sekunda 336.56: - 大溃美好

Frame number: 8381  Sekunda 337.24:  绯澡美好

Frame number: 8398  Sekunda 337.92: 
Frame number: 8415  Sekunda 338.6: 但是如果称认为只有考上北大清华

Frame number: 8432  Sekunda 339.28: 那份彻识才是有含金量的

Frame number: 8449  Sekunda 339.96: “ 那份知铝才是有含金量的

Frame number: 8466  Sekunda 340.64: “十那份知识才是有侣和葵量的

Frame number: 8483  Sekunda 341.32: 那你这用理想就是被绑架到了

Frame number: 8500  Sekunda 342.0: 被以到了将比的金字塔尖上的理想

Frame number: 8517  Sekunda 342.68:  才被架到了砍师的金字塔兴上的理想

Frame number: 8534  Sekunda 343.36: 一           一

Frame number: 8551  Sekunda 344.04: 你比如说以我们的学校为例

Frame number: 8568  Sekunda 344.72: 我经部市大一的玫生

Frame number: 8585  Sekunda 345.4: 我会接触到相当数量的孩子

Frame number: 8602  Sekunda 346.08: 他们非常优秀

Frame number: 8619  Sekunda 346.76: 在高中的时候都有远大的理想

Frame number: 8636  Sekunda 347.44: 要考清华 考北大

Frame number: 8653  Sekunda 348.12: 结果高考的时候失手了

Frame number: 8670  Sekunda 348.8: 论洛到了我们的学校

Frame number: 8687  Sekunda 349.48: 于是怎么样

Frame number: 8704  Sekunda 350.16: 于是就失去了人生的指望

Frame number: 8721  Sekunda 350.84: 陷入到了人大生的谷底

Frame number: 8738  Sekunda 351.52: 什么都担不起精神

Frame number: 8755  Sekunda 352.2: 他对于习没兴趣

Frame number: 8772  Sekunda 352.88: 他对生活本身都没兴趣

Frame number: 8789  Sekunda 353.56: 他对美食都没有兴趣

Frame number: 8806  Sekunda 354.24: 他对和美食都没有兴趣

Frame number: 8823  Sekunda 354.92: 他上课睡党 他下了课还睡觉

Frame number: 8840  Sekunda 355.6: 他上课睡贫 他下了课还睡觉

Frame number: 8857  Sekunda 356.28:        他上课睡时 他下了课还睡觉

Frame number: 8874  Sekunda 356.96: 和                                  二

Frame number: 8891  Sekunda 357.64: 我经审说人家都叫蔓平

Frame number: 8908  Sekunda 358.32: 你们这就叫直接次疯

Frame number: 8925  Sekunda 359.0: 其实这是很不明智的

Frame number: 8942  Sekunda 359.68: 其实这是很不明智的

Frame number: 8959  Sekunda 360.36: 因为每一所学校都有目己的特色资产

Frame number: 8976  Sekunda 361.04: 像我们政法大学也培乔了很多的

Frame number: 8993  Sekunda 361.72: 律师 检察官 法官

Frame number: 9010  Sekunda 362.4: 还有比如说挣钱

Frame number: 9027  Sekunda 363.08: 我们入了以后都想挣更多的钱

Frame number: 9044  Sekunda 363.76: 让自己和自己的家人过上更舒适的生活

Frame number: 9061  Sekunda 364.44: 这是理想

Frame number: 9078  Sekunda 365.12: 这还是一份非常温暖的理想

Frame number: 9095  Sekunda 365.8: 可是如果你的这个理想变成什么了了听

Frame number: 9112  Sekunda 366.48: 从挣更多的钱变成我要比别人更有钱

Frame number: 9129  Sekunda 367.16: 你的理想也被架到了

Frame number: 9146  Sekunda 367.84: 区比的金字塔兴上

Frame number: 9163  Sekunda 368.52: 这个具体的表现是什么

Frame number: 9180  Sekunda 369.2: 我有的时候会举例子

Frame number: 9197  Sekunda 369.88: 比如说你在上海

Frame number: 9214  Sekunda 370.56: 比如说你在上海

Frame number: 9231  Sekunda 371.24: 比如说你在上海

Frame number: 9248  Sekunda 371.92: 在上海这样的高消费的地方

Frame number: 9265  Sekunda 372.6: 你说我本来的钱只人够租一加屋子

Frame number: 9282  Sekunda 373.28: 但这个屋子干干净净 也是可以住的

Frame number: 9299  Sekunda 373.96: 但是我友现

Frame number: 9316  Sekunda 374.64: 跟我同龄的一个朋友他和竟然买了三室一厅了

Frame number: 9333  Sekunda 375.32: 跟我同龄的一个朋友他竟然买了三室一厅了

Frame number: 9350  Sekunda 376.0: 请问你今天晚上上得着党吗

Frame number: 9367  Sekunda 376.68: 请问你今天晚上睡得着党吗

Frame number: 9384  Sekunda 377.36: 你睡不着

Frame number: 9401  Sekunda 378.04: 你说我香斗

Frame number: 9418  Sekunda 378.72: 于是你拼命音斗

Frame number: 9435  Sekunda 379.4: 等你香斗好

Frame number: 9452  Sekunda 380.08: 你也实现这个基本愿望了

Frame number: 9469  Sekunda 380.76: 你也买了三宇一厅了

Frame number: 9486  Sekunda 381.44: 一家三口是可以住的了

Frame number: 9503  Sekunda 382.12: 你觉得很笠福很成功

Frame number: 9520  Sekunda 382.8: 然后你出去跟同学聚了个会

Frame number: 9537  Sekunda 383.48: 然后你出去跟同学聚了个会

Frame number: 9554  Sekunda 384.16: 他震诉你说 我刚天了一个余山的别墅

Frame number: 9571  Sekunda 384.84: 一个亿 丰

Frame number: 9588  Sekunda 385.52: 四

Frame number: 9605  Sekunda 386.2: 
Frame number: 9622  Sekunda 386.88: 我问你今天晚上回来你还睡得着党吗

Frame number: 9639  Sekunda 387.56: 大

Frame number: 9656  Sekunda 388.24: 你又睡不着了

Frame number: 9673  Sekunda 388.92: 你又睡不刊了

Frame number: 9690  Sekunda 389.6: 你又开始焦虑

Frame number: 9707  Sekunda 390.28: 你又开始不安

Frame number: 9724  Sekunda 390.96: 你又开始不安

Frame number: 9741  Sekunda 391.64: 金钱它是一个变量

Frame number: 9758  Sekunda 392.32: 你永远在追

Frame number: 9775  Sekunda 393.0: 它永远水涨船高

Frame number: 9792  Sekunda 393.68: 但丁在他的《神曲》 里面说了这么一句话

Frame number: 9809  Sekunda 394.36: 月亮下的金钱 让人类永远不得安于

Frame number: 9826  Sekunda 395.04: 其实这些被架到金字塔顶的理想

Frame number: 9843  Sekunda 395.72: 都是欧比思维的陷阱

Frame number: 9860  Sekunda 396.4: 是功利主义的圈套

Frame number: 9877  Sekunda 397.08: 它设定的概念是什么

Frame number: 9894  Sekunda 397.76: 它设定的概念是什么

Frame number: 9911  Sekunda 398.44: 你必须出人头地

Frame number: 9928  Sekunda 399.12: 你得把别人比下去 你才叫成功

Frame number: 9945  Sekunda 399.8: 这样的一个成功的思维

Frame number: 9962  Sekunda 400.48: 这样的所朝的理想

Frame number: 9979  Sekunda 401.16: 把很多普通人孝进去

Frame number: 9996  Sekunda 401.84: 但跟普通人是无缘的

Frame number: 10013  Sekunda 402.52: 但跟普通人是无缘的

Frame number: 10030  Sekunda 403.2: 但中普通人是无绿的加

Frame number: 10047  Sekunda 403.88:  本    丰

Frame number: 10064  Sekunda 404.56: 于是专去人欢生

Frame number: 10081  Sekunda 405.24: 于是云云僚生

Frame number: 10098  Sekunda 405.92: 只能眼巴巴地看看那个金子塔的塔尖

Frame number: 10115  Sekunda 406.6: 然后说一句医

Frame number: 10132  Sekunda 407.28: 人生好吉鹰

Frame number: 10149  Sekunda 407.96: 为什么苦讨

Frame number: 10166  Sekunda 408.64: 理想是人生音滥的根产

Frame number: 10183  Sekunda 409.32: 我要跟理想割序了

Frame number: 10200  Sekunda 410.0: 设有理想我不伤心

Frame number: 10217  Sekunda 410.68: 我党得理想不能痛这个钢

Frame number: 10234  Sekunda 411.36: 因为这不是真正的理想

Frame number: 10251  Sekunda 412.04: 真正的理想是什么

Frame number: 10268  Sekunda 412.72: 是一种和目我想象

Frame number: 10285  Sekunda 413.4: 想象我想要的未来的生活

Frame number: 10302  Sekunda 414.08: 想象自己想成为的自我

Frame number: 10319  Sekunda 414.76: 当然我还是愿意举文学当中的一个例子

Frame number: 10336  Sekunda 415.44: 那就是歌德的《浮士德》

Frame number: 10353  Sekunda 416.12: 那就是歌德的《序士德少

Frame number: 10370  Sekunda 416.8: 写在18世纪

Frame number: 10387  Sekunda 417.48: 写在18世纪

Frame number: 10404  Sekunda 418.16: 他讲了一个有趣的故事

Frame number: 10421  Sekunda 418.84: 他培有一个老博士名叫序士德

Frame number: 10438  Sekunda 419.52: 他度过了在书斋里的一生

Frame number: 10455  Sekunda 420.2: 做了一辈子的池问

Frame number: 10472  Sekunda 420.88: 别人对他都很尊敬

Frame number: 10489  Sekunda 421.56: 但是等他老的时候

Frame number: 10506  Sekunda 422.24: 他却突然发现人生是虚度了

Frame number: 10523  Sekunda 422.92: 他却突然慨现人生是虚度了

Frame number: 10540  Sekunda 423.6: 为什么

Frame number: 10557  Sekunda 424.28: 因为他友现这一奏子

Frame number: 10574  Sekunda 424.96: 他就字会了一样技能

Frame number: 10591  Sekunda 425.64: 他就过会了一样技能

Frame number: 10608  Sekunda 426.32: 和御么技能

Frame number: 10625  Sekunda 427.0: _， 什么技能

Frame number: 10642  Sekunda 427.68: 屠庆加复刺粘贴

Frame number: 10659  Sekunda 428.36:  那东叫复刺粘贴

Frame number: 10676  Sekunda 429.04: 那就叫复制粘贴

Frame number: 10693  Sekunda 429.72: 与出来了这人么多的论文

Frame number: 10710  Sekunda 430.4: 其实就是粘粘贴贴

Frame number: 10727  Sekunda 431.08: 也没人看

Frame number: 10744  Sekunda 431.76:          也7疫人看香

Frame number: 10761  Sekunda 432.44: 县

Frame number: 10778  Sekunda 433.12: 所以他觉得这样的人生真的没有活出意尺

Frame number: 10795  Sekunda 433.8: 于是他辐神受祈钱

Frame number: 10812  Sekunda 434.48: 视望再活一回

Frame number: 10829  Sekunda 435.16: 后来魔鬼就帮助他

Frame number: 10846  Sekunda 435.84: 喝下了返回青春的有赤药

Frame number: 10863  Sekunda 436.52: 浮士德重加20岁

Frame number: 10880  Sekunda 437.2: 又过了一生

Frame number: 10897  Sekunda 437.88: 我们想那他的第二生会怎么样呢

Frame number: 10914  Sekunda 438.56: 你想不到歌德是这样安排的

Frame number: 10931  Sekunda 439.24: 他说他的第二世是这样的

Frame number: 10948  Sekunda 439.92: 他说他的第二世是这样的

Frame number: 10965  Sekunda 440.6: 谈了个恋爱 失败了

Frame number: 10982  Sekunda 441.28: 走了个仕途 疫走通

Frame number: 10999  Sekunda 441.96: 追求艺木梦想 破火了

Frame number: 11016  Sekunda 442.64: 就连最后想做的理想国也没有实现

Frame number: 11033  Sekunda 443.32: 我讲这个的时候我们很多同学都很有同感

Frame number: 11050  Sekunda 444.0: 老师 这是我训

Frame number: 11067  Sekunda 444.68: 老师 这是我旋

Frame number: 11084  Sekunda 445.36: 一事无成

Frame number: 11101  Sekunda 446.04: 一事无成

Frame number: 11118  Sekunda 446.72: 一事无成

Frame number: 11135  Sekunda 447.4: 这不就是个一事无成的人生吗

Frame number: 11152  Sekunda 448.08: 可是浮士德很满意

Frame number: 11169  Sekunda 448.76: 上项也很满意

Frame number: 11186  Sekunda 449.44: 上帝认为浮士德代表束个人类活出了意义

Frame number: 11203  Sekunda 450.12: 上帝认为浮士德代表束个人类活出了意义

Frame number: 11220  Sekunda 450.8: 上帝认为浮士德代表整个人类活出了意义

Frame number: 11237  Sekunda 451.48: 这怎么理解

Frame number: 11254  Sekunda 452.16: 一事无成的人生它的价值是什么呀

Frame number: 11271  Sekunda 452.84: 浮士德他做到了什么

Frame number: 11288  Sekunda 453.52: 序士德他做到了什么

Frame number: 11305  Sekunda 454.2: 浮士德他做到了什么

Frame number: 11322  Sekunda 454.88: 其实浮士德他就做到了一件事情

Frame number: 11339  Sekunda 455.56: 其实浮士德他束做到了一件事情

Frame number: 11356  Sekunda 456.24: 保持了一份旺盛的自我想象

Frame number: 11373  Sekunda 456.92: 和探索自我和人生可能性的这样的一种勇气

Frame number: 11390  Sekunda 457.6: 全            于

Frame number: 11407  Sekunda 458.28: 这条路走不通 我就再受坛

Frame number: 11424  Sekunda 458.96: 还走不通 我再芝坛

Frame number: 11441  Sekunda 459.64: 如果是万向不对 我融幸束

Frame number: 11458  Sekunda 460.32: ，                        】

Frame number: 11475  Sekunda 461.0: 这样的一种对于上自己人生的不放痉

Frame number: 11492  Sekunda 461.68: 或者说对目我的一种旺盛的想象力

Frame number: 11509  Sekunda 462.36: 或者说对上自我的一种旺盛的想象力

Frame number: 11526  Sekunda 463.04: 让每一堵墙都不能成为他人生的绝路

Frame number: 11543  Sekunda 463.72: 任何一个鳞小的现实

Frame number: 11560  Sekunda 464.4: 任何一个鳞小的现实

Frame number: 11577  Sekunda 465.08: 也都不可能囚禁浮士德这样的人的人生

Frame number: 11594  Sekunda 465.76: 所以我们会慨现

Frame number: 11611  Sekunda 466.44: 一份对于自我的想象

Frame number: 11628  Sekunda 467.12: 会成为我们人生当中的精神上的弹黄

Frame number: 11645  Sekunda 467.8: 有这人一段弹蓝

Frame number: 11662  Sekunda 468.48: 我们的人生就不会被讨扁

Frame number: 11679  Sekunda 469.16: 哪怕巨石袭来

Frame number: 11696  Sekunda 469.84: 眼看就要把我们压垮了

Frame number: 11713  Sekunda 470.52: 我们有这人一段弹移

Frame number: 11730  Sekunda 471.2: 我们就还会保留一份对自己的想象

Frame number: 11747  Sekunda 471.88: 不也许我还有其他的可能

Frame number: 11764  Sekunda 472.56: 那我们的人生就怎么样

Frame number: 11781  Sekunda 473.24: 还有余地

Frame number: 11798  Sekunda 473.92: 这就是目我想象的一个作用

Frame number: 11815  Sekunda 474.6: 这就是自我想象的一个作用

Frame number: 11832  Sekunda 475.28: 就算走入绝境

Frame number: 11849  Sekunda 475.96: 也能够在绝境处重启人生

Frame number: 11866  Sekunda 476.64: 也能人够在绝境处重启人生

Frame number: 11883  Sekunda 477.32: 但是我要如何才能获得一份目我想象呢

Frame number: 11900  Sekunda 478.0: 我们可以想两个问题

Frame number: 11917  Sekunda 478.68: 第一个问题

Frame number: 11934  Sekunda 479.36: 你想成为怎样的上自己

Frame number: 11951  Sekunda 480.04: 你认真想过了吗

Frame number: 11968  Sekunda 480.72: 你想过上怎样的生活

Frame number: 11985  Sekunda 481.4: 这个问题你想过吗

Frame number: 12002  Sekunda 482.08: 其实我们会发现

Frame number: 12019  Sekunda 482.76: 具实我们会友现

Frame number: 12036  Sekunda 483.44: 一份贴切的目我想象

Frame number: 12053  Sekunda 484.12: 一定要建立在对目己的了和解之上

Frame number: 12070  Sekunda 484.8: 我要了解我的兴趣到底是什么

Frame number: 12087  Sekunda 485.48: 我要了和解我擅长什么

Frame number: 12104  Sekunda 486.16: 我要了解我擅长什么

Frame number: 12121  Sekunda 486.84: 我要了艇我擅长什么

Frame number: 12138  Sekunda 487.52: 我要了解我目己的特点是什么

Frame number: 12155  Sekunda 488.2: 我要了解我目己的特点是什么

Frame number: 12172  Sekunda 488.88: 我们才能够用“私人订制”的方式

Frame number: 12189  Sekunda 489.56: 霜抽出一份目我想象

Frame number: 12206  Sekunda 490.24: 订抽出一份目我想象

Frame number: 12223  Sekunda 490.92: 这样的目我想象才能够变成我们的理想

Frame number: 12240  Sekunda 491.6: 《有月亮与六便士少

Frame number: 12257  Sekunda 492.28: 这个小说大家都非常熟悉

Frame number: 12274  Sekunda 492.96: 它进的是伦敦的一个证阁经纪人

Frame number: 12291  Sekunda 493.64: 收入很好

Frame number: 12308  Sekunda 494.32: 然后有一个小康之家

Frame number: 12325  Sekunda 495.0: 然后有一个小康之家

Frame number: 12342  Sekunda 495.68: 但是到了40岁的时候

Frame number: 12359  Sekunda 496.36: 他突然决定对目己的人生进行改变

Frame number: 12376  Sekunda 497.04: 因为他说我要去做男家

Frame number: 12393  Sekunda 497.72: 为了这个理想

Frame number: 12410  Sekunda 498.4: 他离开了这个家

Frame number: 12427  Sekunda 499.08: 抛借了他的证着经纪人的职业

Frame number: 12444  Sekunda 499.76: 一路贫困济倒

Frame number: 12461  Sekunda 500.44: 了最终流洛到了一个原始的小岛上

Frame number: 12478  Sekunda 501.12: 在那里他得了打风病

Frame number: 12495  Sekunda 501.8: 最后比较囊惨地去世了

Frame number: 12512  Sekunda 502.48: 所以很多人说你看

Frame number: 12529  Sekunda 503.16: 这就是追求理想的下场

Frame number: 12546  Sekunda 503.84: 追求理想把他的人生给蜗了

Frame number: 12563  Sekunda 504.52: 但是主人公思特里克兰德他说了一和句话

Frame number: 12580  Sekunda 505.2: 他说 我从来没有感到如此幸福过

Frame number: 12597  Sekunda 505.88: 他蔽 我从来没有感到如此和幸福过

Frame number: 12614  Sekunda 506.56: 我们来看这和句妖的依据是什么呢

Frame number: 12631  Sekunda 507.24: 他为什么会对目己这样的生活感到玫福呢

Frame number: 12648  Sekunda 507.92: 我们要知道

Frame number: 12665  Sekunda 508.6: 我们要知道

Frame number: 12682  Sekunda 509.28: 在他追求上自己的理想以前

Frame number: 12699  Sekunda 509.96: 他过着什么样的生活

Frame number: 12716  Sekunda 510.64: 他看上去很高的收入

Frame number: 12733  Sekunda 511.32: 但是我们会看到他不喜欢

Frame number: 12750  Sekunda 512.0: 他要做不喜欢的工作

Frame number: 12767  Sekunda 512.6800000000001: 很多他不喜欢的社交

Frame number: 12784  Sekunda 513.36: 他跟自己的妻子

Frame number: 12801  Sekunda 514.04: 早就变成了一个屋槛下的阳生人

Frame number: 12818  Sekunda 514.72: 追求理想是把他毁掉了吗

Frame number: 12835  Sekunda 515.4: 毁掉了他的大生吗

Frame number: 12852  Sekunda 516.08: 是毁挥了他不想要的人生

Frame number: 12869  Sekunda 516.76: 毁反了让他目己感到十分痛癌的那一份自我

Frame number: 12886  Sekunda 517.44: 毁摊了让他目己感到十分痛苦的那一份自我

Frame number: 12903  Sekunda 518.12: 所以他有这人么一句话

Frame number: 12920  Sekunda 518.8: 他说我们都是生活的产品

Frame number: 12937  Sekunda 519.48: 而我想要的是生活本身

Frame number: 12954  Sekunda 520.16: 那我们就能够理解

Frame number: 12971  Sekunda 520.84: 理解思特里克兰德的他的一个怪异的举动

Frame number: 12988  Sekunda 521.52: 他画了很多图

Frame number: 13005  Sekunda 522.2: 陶酬在自己创作的热情当中

Frame number: 13022  Sekunda 522.88: 但是他不珍惜自己的画作

Frame number: 13039  Sekunda 523.56: 他会随意地扔掉目己的男

Frame number: 13056  Sekunda 524.24: 甚至毁抒它

Frame number: 13073  Sekunda 524.92: 甚至缀抒它

Frame number: 13090  Sekunda 525.6: 很多人都不解

Frame number: 13107  Sekunda 526.28: 作为一个画家

Frame number: 13124  Sekunda 526.96: 你为什么这样浪费目己的男作呢

Frame number: 13141  Sekunda 527.64: 内为对思特里克兰德来说

Frame number: 13158  Sekunda 528.32: 他认为目己最值得骄傲的

Frame number: 13175  Sekunda 529.0: 根本不是创作了这些男作

Frame number: 13192  Sekunda 529.68: 而是他创造了自己的人生

Frame number: 13209  Sekunda 530.36: 日

Frame number: 13226  Sekunda 531.04: 他按了人生的重启键

Frame number: 13243  Sekunda 531.72: 他按了人生的重启键        2

Frame number: 13260  Sekunda 532.4: 丰

Frame number: 13277  Sekunda 533.08: 让上自己重新出生了一回

Frame number: 13294  Sekunda 533.76: 让上自己重新出生了一回

Frame number: 13311  Sekunda 534.44: 时

Frame number: 13328  Sekunda 535.12: 是

Frame number: 13345  Sekunda 535.8: 所以毛姆才这样评价他        站

Frame number: 13362  Sekunda 536.48: 所以毛姆才这样评价他       丰

Frame number: 13379  Sekunda 537.16: 所以毛姆才这样评价他       是

Frame number: 13396  Sekunda 537.84: 所以毛姆才这样评价他       和

Frame number: 13413  Sekunda 538.52: 二

Frame number: 13430  Sekunda 539.2: 他死而无憾了

Frame number: 13447  Sekunda 539.88: 他创造了一个世界

Frame number: 13464  Sekunda 540.56: 也看到自己的创造多么地美好

Frame number: 13481  Sekunda 541.24: 理想有什么用

Frame number: 13498  Sekunda 541.92: 这就是理想的力量和和意尺

Frame number: 13515  Sekunda 542.6: 在于它可以有一份理想

Frame number: 13532  Sekunda 543.28: 有一份贴切的自我想象

Frame number: 13549  Sekunda 543.96: 它就可以帮助我们找到自己想过的生活

Frame number: 13566  Sekunda 544.64: 成为自己想成为的自己

Frame number: 13583  Sekunda 545.32: 当然最后我还想补充一小点

Frame number: 13600  Sekunda 546.0: 这是一个扎心的问题

Frame number: 13617  Sekunda 546.68: 老师 我受了你的洗脑

Frame number: 13634  Sekunda 547.36: 我决定去妃求理想了

Frame number: 13651  Sekunda 548.04: 但是我突然想到一个可怕的问题

Frame number: 13668  Sekunda 548.72: 我失败了怎么办

Frame number: 13685  Sekunda 549.4: 我失败了怎么办

Frame number: 13702  Sekunda 550.08: 所以我们会看到

Frame number: 13719  Sekunda 550.76: 失败会变成一个

Frame number: 13736  Sekunda 551.44: 非常非常让我们晨惧的问题

Frame number: 13753  Sekunda 552.12: 
Frame number: 13770  Sekunda 552.8: 大家还记得海明威的《老人与海》吗

Frame number: 13787  Sekunda 553.48: 《老人与海》》 其实与了一个失败者的形象

Frame number: 13804  Sekunda 554.16: 这个老人作为一个渔夫

Frame number: 13821  Sekunda 554.84: 他84天没有抓到鱼了

Frame number: 13838  Sekunda 555.52: 他84天没有抓到鱼了

Frame number: 13855  Sekunda 556.2: 这个失败够大了

Frame number: 13872  Sekunda 556.88: 所以别人都嘲笑他

Frame number: 13889  Sekunda 557.56: 很多人要陷在这个处境里面就会觉得很诅表

Frame number: 13906  Sekunda 558.24: 那么当失败降临的时候

Frame number: 13923  Sekunda 558.92: 那么当失败降临的时候

Frame number: 13940  Sekunda 559.6: 我们应该怎么做呢

Frame number: 13957  Sekunda 560.28: 老人认为

Frame number: 13974  Sekunda 560.96: 老人认为

Frame number: 13991  Sekunda 561.64: 其实你只要做对一件事就可以了

Frame number: 14008  Sekunda 562.32: 那就是我们打在屏才上的这和句话

Frame number: 14025  Sekunda 563.0: 每天把鱼钧放在正确的位置

Frame number: 14042  Sekunda 563.68: 就可以了

Frame number: 14059  Sekunda 564.36: 所谓失败它是一核小小的硬币

Frame number: 14076  Sekunda 565.04: 一面一定是打击

Frame number: 14093  Sekunda 565.72: 但另一面它是契机

Frame number: 14110  Sekunda 566.4: 像浮士德他在向神灵祈求他的第二世人生的时候

Frame number: 14127  Sekunda 567.08: 他是许了愿的

Frame number: 14144  Sekunda 567.76: 他是许了诛的

Frame number: 14161  Sekunda 568.44: 他证了这样一个愿

Frame number: 14178  Sekunda 569.12: 非常奇怪

Frame number: 14195  Sekunda 569.8: 他说假如我可以再活一回

Frame number: 14212  Sekunda 570.48: 请让我去承担人间的祝福

Frame number: 14229  Sekunda 571.16: 去跟暴风雨搏斗

Frame number: 14246  Sekunda 571.84: 去迎接帝舟的碎到

Frame number: 14263  Sekunda 572.52: 你会这样来期盼目己的第二生吗

Frame number: 14280  Sekunda 573.2: 他在许愿说

Frame number: 14297  Sekunda 573.88: 我希望得到一个什么样的第二世呢

Frame number: 14314  Sekunda 574.56: 要有风雨

